Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Inf
DRO,12,6,30-Sep,D,04-Sep,26,1,0
DRO,12,7,01-Oct,D,04-Sep,27,1,1
DRO,12,8,02-Oct,D,04-Sep,28,1,1
DRO,12,9,03-Oct,D,04-Sep,29,1,1
DRO,12,10,09-Oct,D,04-Sep,35,1,0
F,13,1,09-Sep,L,04-Sep,5,0,0
F,13,2,14-Sep,M,04-Sep,10,1,0
F,13,3,25-Sep,D,04-Sep,21,1,0
F,13,4,26-Sep,D,04-Sep,22,1,0
F,13,5,26-Sep,D,04-Sep,22,1,0
F,13,6,26-Sep,D,04-Sep,22,1,0
F,13,7,29-Sep,D,04-Sep,25,1,0
F,13,8,01-Oct,D,04-Sep,27,1,0
F,13,9,01-Oct,D,04-Sep,27,1,0
F,13,10,02-Oct,D,04-Sep,28,1,0
DR,14,1,24-Sep,D,04-Sep,20,1,0
DR,14,2,28-Sep,D,04-Sep,24,1,0
DR,14,3,28-Sep,D,04-Sep,24,1,0
DR,14,4,30-Sep,D,04-Sep,26,1,0
DR,14,5,01-Oct,D,04-Sep,27,1,0
DR,14,6,02-Oct,D,04-Sep,28,1,0
DR,14,7,02-Oct,D,04-Sep,28,1,0
DR,14,8,04-Oct,D,04-Sep,30,1,0
DR,14,9,05-Oct,D,04-Sep,31,1,0
DR,14,10,06-Oct,D,04-Sep,32,1,0
F,15,1,10-Sep,M,04-Sep,6,1,0
F,15,2,20-Sep,D,04-Sep,16,1,0
F,15,3,23-Sep,D,04-Sep,19,1,0
F,15,4,24-Sep,D,04-Sep,20,1,0
F,15,5,24-Sep,D,04-Sep,20,1,0
F,15,6,25-Sep,D,04-Sep,21,1,0
F,15,7,26-Sep,D,04-Sep,22,1,0
F,15,8,28-Sep,D,04-Sep,24,1,0
F,15,9,29-Sep,D,04-Sep,25,1,0
F,15,10,30-Sep,D,04-Sep,26,1,0
FO,16,1,08-Sep,E,04-Sep,4,0,0
FO,16,2,13-Sep,L,04-Sep,9,0,0
FO,16,3,18-Sep,L,04-Sep,14,0,0
FO,16,4,23-Sep,D,04-Sep,19,1,0
FO,16,5,26-Sep,D,04-Sep,22,1,0
FO,16,6,26-Sep,D,04-Sep,22,1,0
FO,16,7,27-Sep,D,04-Sep,23,1,0
FO,16,8,27-Sep,D,04-Sep,23,1,0
FO,16,9,01-Oct,D,04-Sep,27,1,0
FO,16,10,01-Oct,D,04-Sep,27,1,0
FO,17,1,20-Sep,E,04-Sep,16,0,0
FO,17,2,23-Sep,D,04-Sep,19,1,0
FO,17,3,25-Sep,D,04-Sep,21,1,0
FO,17,4,26-Sep,D,04-Sep,22,1,0
FO,17,5,27-Sep,D,04-Sep,23,1,0
FO,17,6,28-Sep,D,04-Sep,24,1,0
FO,17,7,29-Sep,D,04-Sep,25,1,0
FO,17,8,29-Sep,D,04-Sep,25,1,0
FO,17,9,30-Sep,D,04-Sep,26,1,0
FO,17,10,01-Oct,D,04-Sep,27,1,0
F,18,1,09-Sep,M,04-Sep,5,1,0
F,18,2,19-Sep,D,04-Sep,15,1,0
F,18,3,19-Sep,D,04-Sep,15,1,0
F,18,4,22-Sep,D,04-Sep,18,1,1
F,18,5,22-Sep,D,04-Sep,18,1,1
F,18,6,22-Sep,D,04-Sep,18,1,1
F,18,7,22-Sep,D,04-Sep,18,1,1
F,18,8,24-Sep,D,04-Sep,20,1,0
F,18,9,26-Sep,D,04-Sep,22,1,1
F,18,10,30-Sep,D,04-Sep,26,1,0
FO,19,1,19-Sep,E,04-Sep,15,0,0
FO,19,2,24-Sep,D,04-Sep,20,1,0
FO,19,3,24-Sep,W,04-Sep,20,0,0
FO,19,4,26-Sep,D,04-Sep,22,1,0
FO,19,5,27-Sep,D,04-Sep,23,1,0
FO,19,6,28-Sep,D,04-Sep,24,1,0
FO,19,7,29-Sep,D,04-Sep,25,1,0
FO,19,8,29-Sep,D,04-Sep,25,1,0
FO,19,9,01-Oct,D,04-Sep,27,1,0
FO,19,10,02-Oct,D,04-Sep,28,1,0
FO,20,1,20-Sep,D,04-Sep,16,1,0
FO,20,2,25-Sep,D,04-Sep,21,1,0
FO,20,3,26-Sep,D,04-Sep,22,1,0
FO,20,4,26-Sep,D,04-Sep,22,1,0
FO,20,5,27-Sep,D,04-Sep,23,1,1
FO,20,6,27-Sep,D,04-Sep,23,1,1
FO,20,7,27-Sep,D,04-Sep,23,1,1
FO,20,8,28-Sep,D,04-Sep,24,1,0
FO,20,9,28-Sep,D,04-Sep,24,1,0
FO,20,10,29-Sep,D,04-Sep,25,1,0
