Plate ID,Treatment,Worm,Age,Time ,Event,Day
35,FO,10,7,16:20,1,0.291666667
36,DRO,1,8,17:20,1,0.333333333
36,DRO,2,8,17:20,1,0.333333333
36,DRO,3,8,17:20,1,0.333333333
36,DRO,4,9,18:30,1,0.375
36,DRO,5,11,D2,1,2
36,DRO,6,11,D2,1,2
36,DRO,7,11,D2,1,2
36,DRO,8,11,D2,1,2
36,DRO,9,12,D3,1,3
36,DRO,10,12,D3,1,3
37,DR,1,5,13:50,1,0.208333333
37,DR,2,8,17:20,1,0.333333333
37,DR,3,8,17:20,1,0.333333333
37,DR,4,8,17:20,1,0.333333333
37,DR,5,9,18:30,1,0.375
37,DR,6,9,18:30,1,0.375
37,DR,7,10,D1,1,1
37,DR,8,12,D3,1,3
37,DR,9,12,D3,1,3
37,DR,10,12,D3,1,3
38,DR,1,5,13:50,1,0.208333333
38,DR,2,8,17:20,1,0.333333333
38,DR,3,8,17:20,1,0.333333333
38,DR,4,8,17:20,1,0.333333333
38,DR,5,9,18:30,1,0.375
38,DR,6,9,18:30,1,0.375
38,DR,7,10,D1,1,1
38,DR,8,11,D2,1,2
38,DR,9,11,D2,1,2
38,DR,10,13,D4,1,4
39,DR,1,6,15:10,1,0.25
39,DR,2,8,17:20,1,0.333333333
39,DR,3,8,17:20,1,0.333333333
39,DR,4,9,18:30,1,0.375
39,DR,5,9,18:30,1,0.375
39,DR,6,10,D1,1,1
39,DR,7,10,D1,1,1
39,DR,8,11,D2,1,2
39,DR,9,13,D4,1,4
39,DR,10,14,D5,1,5
40,F,1,3,11:30,1,0.125
40,F,2,4,12:45,1,0.166666667
40,F,3,4,12:45,1,0.166666667
40,F,4,5,13:50,1,0.208333333
40,F,5,5,13:50,1,0.208333333
40,F,6,5,13:50,1,0.208333333
40,F,7,6,15:10,1,0.25
40,F,8,6,15:10,1,0.25
40,F,9,6,15:10,1,0.25
40,F,10,7,16:20,1,0.291666667
