Tube,Treatment,Rep,Day,No_worms,Block,Population
22,DR,3,21,13,2,62
23,DR,3,21,7,2,63
24,DR,3,21,1,2,64
25,FO,3,21,3,2,65
26,FO,3,21,2,2,66
27,FO,3,21,7,2,67
28,DR,3,21,4,2,68
29,F,3,21,6,2,69
30,FO,3,21,1,2,70
31,FO,3,21,4,2,71
32,F,3,21,7,2,72
33,DRO,3,21,3,2,73
34,DRO,3,21,7,2,74
35,DRO,3,21,2,2,75
36,FO,3,21,1,2,76
37,DRO,3,21,6,2,77
38,DR,3,21,1,2,78
39,F,3,21,2,2,79
40,FO,3,21,13,2,80
1,FO,4,21,4,2,41
2,DR,4,21,2,2,42
3,DRO,4,21,5,2,43
4,DR,4,21,0,2,44
5,F,4,21,4,2,45
6,F,4,21,1,2,46
7,DRO,4,21,9,2,47
8,F,4,21,6,2,48
9,DR,4,21,58,2,49
10,DRO,4,21,4,2,50
11,DR,4,21,1,2,51
12,F,4,21,4,2,52
13,F,4,21,10,2,53
14,FO,4,21,0,2,54
15,F,4,21,6,2,55
16,FO,4,21,6,2,56
17,DRO,4,21,2,2,57
18,DR,4,21,2,2,58
19,F,4,21,6,2,59
20,DRO,4,21,2,2,60
21,DRO,4,21,8,2,61
22,DR,4,21,7,2,62
23,DR,4,21,6,2,63
24,DR,4,21,4,2,64
25,FO,4,21,2,2,65
26,FO,4,21,0,2,66
27,FO,4,21,6,2,67
28,DR,4,21,4,2,68
29,F,4,21,8,2,69
30,FO,4,21,3,2,70
31,FO,4,21,0,2,71
32,F,4,21,2,2,72
33,DRO,4,21,2,2,73
34,DRO,4,21,10,2,74
35,DRO,4,21,2,2,75
36,FO,4,21,2,2,76
37,DRO,4,21,2,2,77
38,DR,4,21,0,2,78
39,F,4,21,0,2,79
40,FO,4,21,3,2,80
1,FO,5,21,3,2,41
2,DR,5,21,0,2,42
3,DRO,5,21,2,2,43
4,DR,5,21,1,2,44
5,F,5,21,3,2,45
6,F,5,21,1,2,46
7,DRO,5,21,4,2,47
8,F,5,21,3,2,48
9,DR,5,21,29,2,49
10,DRO,5,21,3,2,50
11,DR,5,21,3,2,51
12,F,5,21,1,2,52
13,F,5,21,7,2,53
14,FO,5,21,2,2,54
15,F,5,21,3,2,55
16,FO,5,21,6,2,56
17,DRO,5,21,1,2,57
18,DR,5,21,3,2,58
19,F,5,21,7,2,59
20,DRO,5,21,4,2,60
21,DRO,5,21,6,2,61
22,DR,5,21,13,2,62
23,DR,5,21,4,2,63
24,DR,5,21,5,2,64
25,FO,5,21,3,2,65
26,FO,5,21,4,2,66
27,FO,5,21,7,2,67
28,DR,5,21,4,2,68
29,F,5,21,4,2,69
30,FO,5,21,5,2,70
31,FO,5,21,2,2,71
32,F,5,21,3,2,72
33,DRO,5,21,2,2,73
34,DRO,5,21,9,2,74
35,DRO,5,21,1,2,75
36,FO,5,21,0,2,76
37,DRO,5,21,3,2,77
38,DR,5,21,2,2,78
39,F,5,21,1,2,79
40,FO,5,21,3,2,80
1,FO,6,21,3,2,41
2,DR,6,21,1,2,42
3,DRO,6,21,4,2,43
4,DR,6,21,3,2,44
5,F,6,21,9,2,45
6,F,6,21,0,2,46
7,DRO,6,21,14,2,47
8,F,6,21,1,2,48
9,DR,6,21,71,2,49
10,DRO,6,21,4,2,50
11,DR,6,21,3,2,51
12,F,6,21,3,2,52
13,F,6,21,11,2,53
14,FO,6,21,3,2,54
15,F,6,21,2,2,55
16,FO,6,21,7,2,56
17,DRO,6,21,1,2,57
18,DR,6,21,0,2,58
19,F,6,21,2,2,59
20,DRO,6,21,14,2,60
21,DRO,6,21,4,2,61
22,DR,6,21,6,2,62
23,DR,6,21,14,2,63
24,DR,6,21,8,2,64
25,FO,6,21,3,2,65
26,FO,6,21,1,2,66
27,FO,6,21,3,2,67
28,DR,6,21,6,2,68
29,F,6,21,7,2,69
30,FO,6,21,4,2,70
31,FO,6,21,4,2,71
32,F,6,21,4,2,72
33,DRO,6,21,2,2,73
34,DRO,6,21,6,2,74
35,DRO,6,21,2,2,75
36,FO,6,21,2,2,76
37,DRO,6,21,3,2,77
38,DR,6,21,2,2,78
39,F,6,21,1,2,79
40,FO,6,21,5,2,80
25,F,1,7,48,3,81
26,FO,1,7,25,3,82
27,DR,1,7,45,3,83
28,FO,1,7,7,3,84
29,F,1,7,19,3,85
30,DR,1,7,26,3,86
31,F,1,7,30,3,87
32,DRO,1,7,2,3,88
33,DR,1,7,14,3,89
34,FO,1,7,50,3,90
35,FO,1,7,7,3,91
36,DR,1,7,3,3,92
37,F,1,7,99,3,93
38,DRO,1,7,42,3,94
39,DR,1,7,0,3,95
40,FO,1,7,68,3,96
41,F,1,7,32,3,97
42,F,1,7,136,3,98
43,DR,1,7,61,3,99
44,DRO,1,7,56,3,100
45,DR,1,7,124,3,101
46,DRO,1,7,76,3,102
47,FO,1,7,108,3,103
48,DR,1,7,43,3,104
49,DRO,1,7,179,3,105
50,FO,1,7,156,3,106
51,F,1,7,41,3,107
52,DRO,1,7,42,3,108
53,DRO,1,7,127,3,109
54,DRO,1,7,91,3,110
25,F,2,7,46,3,81
26,FO,2,7,19,3,82
27,DR,2,7,40,3,83
28,FO,2,7,4,3,84
29,F,2,7,27,3,85
30,DR,2,7,11,3,86
31,F,2,7,33,3,87
32,DRO,2,7,1,3,88
33,DR,2,7,15,3,89
34,FO,2,7,68,3,90
35,FO,2,7,9,3,91
36,DR,2,7,2,3,92
37,F,2,7,78,3,93
38,DRO,2,7,42,3,94
39,DR,2,7,0,3,95
40,FO,2,7,63,3,96
41,F,2,7,32,3,97
42,F,2,7,124,3,98
43,DR,2,7,86,3,99
44,DRO,2,7,27,3,100
45,DR,2,7,107,3,101
46,DRO,2,7,86,3,102
47,FO,2,7,91,3,103
48,DR,2,7,43,3,104
49,DRO,2,7,209,3,105
50,FO,2,7,168,3,106
51,F,2,7,48,3,107
52,DRO,2,7,55,3,108
53,DRO,2,7,77,3,109
54,DRO,2,7,61,3,110
25,F,3,7,56,3,81
26,FO,3,7,27,3,82
27,DR,3,7,42,3,83
28,FO,3,7,3,3,84
29,F,3,7,24,3,85
30,DR,3,7,11,3,86
31,F,3,7,25,3,87
32,DRO,3,7,5,3,88
33,DR,3,7,14,3,89
34,FO,3,7,36,3,90
35,FO,3,7,12,3,91
36,DR,3,7,1,3,92
37,F,3,7,109,3,93
38,DRO,3,7,50,3,94
39,DR,3,7,0,3,95
40,FO,3,7,64,3,96
41,F,3,7,35,3,97
42,F,3,7,82,3,98
43,DR,3,7,60,3,99
44,DRO,3,7,53,3,100
45,DR,3,7,88,3,101
46,DRO,3,7,88,3,102
47,FO,3,7,84,3,103
48,DR,3,7,41,3,104
49,DRO,3,7,170,3,105
50,FO,3,7,165,3,106
51,F,3,7,38,3,107
52,DRO,3,7,74,3,108
53,DRO,3,7,95,3,109
54,DRO,3,7,39,3,110
25,F,4,7,25,3,81
26,FO,4,7,17,3,82
27,DR,4,7,34,3,83
28,FO,4,7,4,3,84
29,F,4,7,14,3,85
30,DR,4,7,13,3,86
31,F,4,7,23,3,87
32,DRO,4,7,4,3,88
33,DR,4,7,9,3,89
34,FO,4,7,10,3,90
35,FO,4,7,12,3,91
36,DR,4,7,2,3,92
37,F,4,7,107,3,93
38,DRO,4,7,21,3,94
39,DR,4,7,0,3,95
40,FO,4,7,82,3,96
41,F,4,7,28,3,97
42,F,4,7,125,3,98
43,DR,4,7,127,3,99
44,DRO,4,7,55,3,100
45,DR,4,7,155,3,101
46,DRO,4,7,105,3,102
47,FO,4,7,183,3,103
48,DR,4,7,50,3,104
49,DRO,4,7,184,3,105
50,FO,4,7,387,3,106
51,F,4,7,35,3,107
52,DRO,4,7,74,3,108
53,DRO,4,7,99,3,109
54,DRO,4,7,29,3,110
25,F,5,7,44,3,81
26,FO,5,7,14,3,82
27,DR,5,7,41,3,83
28,FO,5,7,13,3,84
29,F,5,7,24,3,85
30,DR,5,7,10,3,86
31,F,5,7,16,3,87
32,DRO,5,7,0,3,88
33,DR,5,7,8,3,89
34,FO,5,7,70,3,90
35,FO,5,7,9,3,91
36,DR,5,7,6,3,92
37,F,5,7,101,3,93
38,DRO,5,7,47,3,94
39,DR,5,7,0,3,95
40,FO,5,7,66,3,96
41,F,5,7,31,3,97
42,F,5,7,145,3,98
43,DR,5,7,106,3,99
44,DRO,5,7,50,3,100
45,DR,5,7,142,3,101
46,DRO,5,7,107,3,102
47,FO,5,7,144,3,103
48,DR,5,7,57,3,104
49,DRO,5,7,219,3,105
50,FO,5,7,355,3,106
51,F,5,7,48,3,107
52,DRO,5,7,86,3,108
53,DRO,5,7,121,3,109
54,DRO,5,7,26,3,110
25,F,6,7,54,3,81
26,FO,6,7,10,3,82
27,DR,6,7,35,3,83
28,FO,6,7,12,3,84
29,F,6,7,25,3,85
30,DR,6,7,9,3,86
31,F,6,7,28,3,87
32,DRO,6,7,5,3,88
33,DR,6,7,11,3,89
34,FO,6,7,70,3,90
35,FO,6,7,4,3,91
36,DR,6,7,4,3,92
37,F,6,7,139,3,93
38,DRO,6,7,26,3,94
39,DR,6,7,0,3,95
40,FO,6,7,100,3,96
41,F,6,7,38,3,97
42,F,6,7,163,3,98
43,DR,6,7,91,3,99
44,DRO,6,7,44,3,100
45,DR,6,7,104,3,101
46,DRO,6,7,166,3,102
47,FO,6,7,119,3,103
48,DR,6,7,80,3,104
49,DRO,6,7,153,3,105
50,FO,6,7,171,3,106
51,F,6,7,91,3,107
52,DRO,6,7,73,3,108
53,DRO,6,7,74,3,109
54,DRO,6,7,36,3,110
25,F,1,14,69,3,81
26,FO,1,14,80,3,82
27,DR,1,14,52,3,83
28,FO,1,14,70,3,84
29,F,1,14,67,3,85
30,DR,1,14,46,3,86
31,F,1,14,84,3,87
32,DRO,1,14,48,3,88
33,DR,1,14,49,3,89
34,FO,1,14,59,3,90
35,FO,1,14,89,3,91
36,DR,1,14,24,3,92
37,F,1,14,233,3,93
38,DRO,1,14,69,3,94
39,DR,1,14,0,3,95
40,FO,1,14,260,3,96
41,F,1,14,137,3,97
42,F,1,14,0,3,98
43,DR,1,14,130,3,99
44,DRO,1,14,48,3,100
45,DR,1,14,197,3,101
46,DRO,1,14,217,3,102
47,FO,1,14,267,3,103
48,DR,1,14,74,3,104
49,DRO,1,14,128,3,105
50,FO,1,14,464,3,106
51,F,1,14,147,3,107
52,DRO,1,14,279,3,108
53,DRO,1,14,57,3,109
54,DRO,1,14,100,3,110
25,F,2,14,61,3,81
26,FO,2,14,86,3,82
27,DR,2,14,53,3,83
28,FO,2,14,72,3,84
29,F,2,14,60,3,85
30,DR,2,14,29,3,86
31,F,2,14,81,3,87
32,DRO,2,14,44,3,88
33,DR,2,14,59,3,89
34,FO,2,14,63,3,90
35,FO,2,14,90,3,91
36,DR,2,14,21,3,92
37,F,2,14,225,3,93
38,DRO,2,14,63,3,94
39,DR,2,14,0,3,95
40,FO,2,14,275,3,96
41,F,2,14,130,3,97
42,F,2,14,0,3,98
43,DR,2,14,157,3,99
44,DRO,2,14,55,3,100
45,DR,2,14,137,3,101
46,DRO,2,14,185,3,102
47,FO,2,14,310,3,103
48,DR,2,14,80,3,104
49,DRO,2,14,223,3,105
50,FO,2,14,320,3,106
51,F,2,14,143,3,107
52,DRO,2,14,301,3,108
53,DRO,2,14,116,3,109
54,DRO,2,14,71,3,110
25,F,3,14,65,3,81
26,FO,3,14,110,3,82
27,DR,3,14,57,3,83
28,FO,3,14,89,3,84
29,F,3,14,78,3,85
30,DR,3,14,49,3,86
31,F,3,14,101,3,87
32,DRO,3,14,58,3,88
33,DR,3,14,78,3,89
34,FO,3,14,75,3,90
35,FO,3,14,87,3,91
36,DR,3,14,18,3,92
37,F,3,14,213,3,93
38,DRO,3,14,88,3,94
39,DR,3,14,1,3,95
40,FO,3,14,242,3,96
41,F,3,14,159,3,97
42,F,3,14,0,3,98
43,DR,3,14,157,3,99
44,DRO,3,14,50,3,100
45,DR,3,14,162,3,101
46,DRO,3,14,159,3,102
47,FO,3,14,269,3,103
48,DR,3,14,75,3,104
49,DRO,3,14,119,3,105
50,FO,3,14,161,3,106
51,F,3,14,121,3,107
52,DRO,3,14,284,3,108
53,DRO,3,14,234,3,109
54,DRO,3,14,137,3,110
25,F,4,14,75,3,81
26,FO,4,14,108,3,82
27,DR,4,14,61,3,83
28,FO,4,14,84,3,84
29,F,4,14,106,3,85
30,DR,4,14,53,3,86
31,F,4,14,73,3,87
32,DRO,4,14,45,3,88
33,DR,4,14,55,3,89
34,FO,4,14,66,3,90
35,FO,4,14,94,3,91
36,DR,4,14,16,3,92
37,F,4,14,228,3,93
38,DRO,4,14,75,3,94
39,DR,4,14,0,3,95
40,FO,4,14,255,3,96
41,F,4,14,179,3,97
42,F,4,14,0,3,98
43,DR,4,14,161,3,99
44,DRO,4,14,63,3,100
45,DR,4,14,241,3,101
46,DRO,4,14,142,3,102
47,FO,4,14,241,3,103
48,DR,4,14,113,3,104
49,DRO,4,14,187,3,105
50,FO,4,14,437,3,106
51,F,4,14,173,3,107
52,DRO,4,14,261,3,108
53,DRO,4,14,339,3,109
54,DRO,4,14,69,3,110
25,F,5,14,88,3,81
26,FO,5,14,112,3,82
27,DR,5,14,63,3,83
28,FO,5,14,97,3,84
29,F,5,14,88,3,85
30,DR,5,14,54,3,86
31,F,5,14,91,3,87
32,DRO,5,14,53,3,88
33,DR,5,14,45,3,89
34,FO,5,14,78,3,90
35,FO,5,14,81,3,91
36,DR,5,14,19,3,92
37,F,5,14,234,3,93
38,DRO,5,14,82,3,94
39,DR,5,14,0,3,95
40,FO,5,14,258,3,96
41,F,5,14,146,3,97
42,F,5,14,0,3,98
43,DR,5,14,124,3,99
44,DRO,5,14,54,3,100
45,DR,5,14,250,3,101
46,DRO,5,14,249,3,102
47,FO,5,14,178,3,103
48,DR,5,14,90,3,104
49,DRO,5,14,202,3,105
50,FO,5,14,433,3,106
51,F,5,14,139,3,107
52,DRO,5,14,390,3,108
53,DRO,5,14,112,3,109
54,DRO,5,14,84,3,110
25,F,6,14,84,3,81
26,FO,6,14,123,3,82
27,DR,6,14,50,3,83
28,FO,6,14,99,3,84
29,F,6,14,83,3,85
30,DR,6,14,52,3,86
31,F,6,14,89,3,87
32,DRO,6,14,58,3,88
33,DR,6,14,38,3,89
34,FO,6,14,81,3,90
35,FO,6,14,77,3,91
36,DR,6,14,21,3,92
37,F,6,14,252,3,93
38,DRO,6,14,87,3,94
39,DR,6,14,0,3,95
40,FO,6,14,300,3,96
41,F,6,14,160,3,97
42,F,6,14,0,3,98
43,DR,6,14,127,3,99
44,DRO,6,14,73,3,100
45,DR,6,14,261,3,101
46,DRO,6,14,139,3,102
47,FO,6,14,266,3,103
48,DR,6,14,101,3,104
49,DRO,6,14,189,3,105
50,FO,6,14,321,3,106
51,F,6,14,136,3,107
52,DRO,6,14,244,3,108
53,DRO,6,14,135,3,109
54,DRO,6,14,82,3,110
25,F,1,21,150,3,81
26,FO,1,21,121,3,82
27,DR,1,21,187,3,83
28,FO,1,21,119,3,84
29,F,1,21,92,3,85
30,DR,1,21,89,3,86
31,F,1,21,166,3,87
32,DRO,1,21,208,3,88
33,DR,1,21,44,3,89
34,FO,1,21,97,3,90
35,FO,1,21,203,3,91
36,DR,1,21,76,3,92
37,F,1,21,194,3,93
38,DRO,1,21,210,3,94
39,DR,1,21,0,3,95
40,FO,1,21,269,3,96
41,F,1,21,184,3,97
42,F,1,21,176,3,98
43,DR,1,21,75,3,99
44,DRO,1,21,67,3,100
45,DR,1,21,235,3,101
46,DRO,1,21,158,3,102
47,FO,1,21,136,3,103
48,DR,1,21,103,3,104
49,DRO,1,21,183,3,105
50,FO,1,21,214,3,106
51,F,1,21,230,3,107
52,DRO,1,21,322,3,108
53,DRO,1,21,202,3,109
54,DRO,1,21,108,3,110
25,F,2,21,152,3,81
26,FO,2,21,151,3,82
27,DR,2,21,180,3,83
28,FO,2,21,142,3,84
29,F,2,21,98,3,85
30,DR,2,21,93,3,86
31,F,2,21,182,3,87
32,DRO,2,21,207,3,88
33,DR,2,21,71,3,89
34,FO,2,21,76,3,90
35,FO,2,21,182,3,91
36,DR,2,21,51,3,92
37,F,2,21,186,3,93
38,DRO,2,21,186,3,94
39,DR,2,21,0,3,95
40,FO,2,21,275,3,96
41,F,2,21,189,3,97
42,F,2,21,188,3,98
43,DR,2,21,94,3,99
44,DRO,2,21,65,3,100
45,DR,2,21,290,3,101
46,DRO,2,21,140,3,102
47,FO,2,21,146,3,103
48,DR,2,21,98,3,104
49,DRO,2,21,173,3,105
50,FO,2,21,268,3,106
51,F,2,21,248,3,107
52,DRO,2,21,339,3,108
53,DRO,2,21,199,3,109
54,DRO,2,21,112,3,110
25,F,3,21,165,3,81
26,FO,3,21,128,3,82
27,DR,3,21,175,3,83
28,FO,3,21,133,3,84
29,F,3,21,86,3,85
30,DR,3,21,78,3,86
31,F,3,21,209,3,87
32,DRO,3,21,188,3,88
33,DR,3,21,71,3,89
34,FO,3,21,88,3,90
35,FO,3,21,194,3,91
36,DR,3,21,60,3,92
37,F,3,21,170,3,93
38,DRO,3,21,207,3,94
39,DR,3,21,0,3,95
40,FO,3,21,239,3,96
41,F,3,21,162,3,97
42,F,3,21,185,3,98
43,DR,3,21,81,3,99
44,DRO,3,21,56,3,100
45,DR,3,21,252,3,101
46,DRO,3,21,133,3,102
47,FO,3,21,143,3,103
48,DR,3,21,99,3,104
49,DRO,3,21,164,3,105
50,FO,3,21,181,3,106
51,F,3,21,266,3,107
52,DRO,3,21,308,3,108
53,DRO,3,21,232,3,109
54,DRO,3,21,121,3,110
25,F,4,21,166,3,81
26,FO,4,21,132,3,82
27,DR,4,21,159,3,83
28,FO,4,21,127,3,84
29,F,4,21,97,3,85
30,DR,4,21,87,3,86
31,F,4,21,129,3,87
32,DRO,4,21,203,3,88
33,DR,4,21,91,3,89
34,FO,4,21,124,3,90
35,FO,4,21,179,3,91
36,DR,4,21,48,3,92
37,F,4,21,182,3,93
38,DRO,4,21,209,3,94
39,DR,4,21,0,3,95
40,FO,4,21,210,3,96
41,F,4,21,163,3,97
42,F,4,21,218,3,98
43,DR,4,21,105,3,99
44,DRO,4,21,55,3,100
45,DR,4,21,230,3,101
46,DRO,4,21,153,3,102
47,FO,4,21,159,3,103
48,DR,4,21,101,3,104
49,DRO,4,21,148,3,105
50,FO,4,21,292,3,106
51,F,4,21,259,3,107
52,DRO,4,21,276,3,108
53,DRO,4,21,247,3,109
54,DRO,4,21,149,3,110
25,F,5,21,95,3,81
26,FO,5,21,80,3,82
27,DR,5,21,95,3,83
28,FO,5,21,98,3,84
29,F,5,21,95,3,85
30,DR,5,21,92,3,86
31,F,5,21,156,3,87
32,DRO,5,21,192,3,88
33,DR,5,21,97,3,89
34,FO,5,21,104,3,90
35,FO,5,21,213,3,91
36,DR,5,21,60,3,92
37,F,5,21,178,3,93
38,DRO,5,21,220,3,94
39,DR,5,21,0,3,95
40,FO,5,21,245,3,96
41,F,5,21,158,3,97
42,F,5,21,207,3,98
43,DR,5,21,66,3,99
44,DRO,5,21,49,3,100
45,DR,5,21,220,3,101
46,DRO,5,21,173,3,102
47,FO,5,21,129,3,103
48,DR,5,21,81,3,104
49,DRO,5,21,170,3,105
50,FO,5,21,291,3,106
51,F,5,21,156,3,107
52,DRO,5,21,301,3,108
53,DRO,5,21,308,3,109
54,DRO,5,21,122,3,110
25,F,6,21,118,3,81
26,FO,6,21,165,3,82
27,DR,6,21,124,3,83
28,FO,6,21,135,3,84
29,F,6,21,98,3,85
30,DR,6,21,82,3,86
31,F,6,21,195,3,87
32,DRO,6,21,168,3,88
33,DR,6,21,100,3,89
34,FO,6,21,116,3,90
35,FO,6,21,212,3,91
36,DR,6,21,60,3,92
37,F,6,21,159,3,93
38,DRO,6,21,234,3,94
39,DR,6,21,1,3,95
40,FO,6,21,207,3,96
41,F,6,21,173,3,97
42,F,6,21,197,3,98
43,DR,6,21,47,3,99
44,DRO,6,21,49,3,100
45,DR,6,21,211,3,101
46,DRO,6,21,167,3,102
47,FO,6,21,146,3,103
48,DR,6,21,101,3,104
49,DRO,6,21,141,3,105
50,FO,6,21,231,3,106
51,F,6,21,172,3,107
52,DRO,6,21,293,3,108
53,DRO,6,21,208,3,109
54,DRO,6,21,83,3,110
